route.id,route.short_name,route.long_name,route.type
0,L1,Hospital de Bellvitge - Fondo,1
7,L10,Bon Pastor - Gorg,1
8,L11,Trinitat Nova - Can Cuiàs,1
3,L2,Paral·lel - Badalona Pompeu Fabra,1
4,L3,Zona Universitària - Trinitat Nova,1
5,L4,La Pau - Trinitat Nova,1
6,L5,Cornellà Centre - Vall d'Hebron,1
2,L9S,Aeroport T1 - Zona Universitaria,1
1,L9N,La Sagrera - Can Zam,1
9,FM,Paral·lel - Parc de Montjuïc,7
26,102,Pl. Eivissa / Cementiri de Collserola,3
11,103,Montcada i Reixac / Cementiri de Collserola,3
12,104,Fabra i Puig / Cementiri de Collserola,3
79,107,Interior cementiri,3
49,109,Estació de Sants / Polígon Zona Franca,3
39,11,Trinitat Vella / Roquetes,3
69,110,<M> Av. Carrilet / Polígon Zona Franca,3
30,111,Tibidabo,3
31,113,La Mercè,3
85,114,Gràcia / Can Baró,3
40,115,La Bordeta,3
86,116,La Salut,3
13,117,Guinardó,3
14,118,Mas Guimbau,3
16,119,La Teixonera,3
42,120,El Raval,3
17,121,Poble Sec,3
48,122,Turó de la Peira,3
18,123,Bonanova Alta,3
19,124,Penitents,3
20,125,La Marina,3
21,126,Sant Andreu,3
46,127,Roquetes,3
15,128,El Rectoret,3
24,129,El Coll,3
33,13,Mercat Sant Antoni / Parc de Montjuïc,3
25,130,Can Caralleu,3
70,131,El Putxet,3
68,132,Torre Llobeta / Prosperitat,3
32,143,La Pau / Sant Adrià,3
29,150,Pl. Espanya / Castell de Montjuïc,3
52,155,Can Cuiàs / Santa Maria de Montcada,3
55,157,Collblanc / Sant Joan Despí,3
83,165,Prat Exprés,3
75,185,<M> Canyelles / Sant Genís,3
41,19,Pl. Urquinaona / Sant Genís,3
23,192,Hospital Sant Pau / Poblenou,3
27,196,Pl. Kennedy / Bellesguard,3
89,20,Av. Roma / Pl. Congrés,3
82,V3,Zona Franca / Can Caralleu,3
93,H4,Zona Universitària / Bon Pastor,3
62,H6,Zona Universitària / Fabra i Puig,3
76,V7,Pl. Espanya / Sarrià,3
88,H8,Camp Nou / La Maquinista,3
71,21,Paral·lel / El Prat,3
80,H10,Badal / Olímpic de Badalona,3
99,V11,Estació Marítima (WTC) / Bonanova,3
81,H12,Gornal / Besòs Verneda,3
103,V13,Drassanes / Av. Tibidabo,3
87,H14,Paral·lel / Sant Adrià,3
105,V15,Barceloneta / Vall d'Hebron,3
43,H16,Pg. Zona Franca / Fòrum,3
106,V17,Port Vell / Carmel,3
95,22,Pl. Catalunya / Av. Tibidabo,3
57,D20,Pg. Marítim / Ernest Lluch,3
65,V21,Pg. Marítim / Montbau,3
102,V27,Pg. Marítim / Canyelles,3
74,23,Pl. Espanya / Parc Logístic,3
90,24,Paral·lel / El Carmel,3
36,26,Poblenou / Barri del Congrés,3
84,27,Pl. Espanya / Roquetes,3
63,32,Estació de Sants / Roquetes,3
100,33,Zona Universitària / Verneda,3
98,34,Pg. Manuel Girona / Pl. Virrei Amat,3
66,36,Pg. Marítim / Can Dragó,3
44,37,Hospital Clínic / Zona Franca,3
61,39,Barceloneta / Horta,3
60,40,Pl. Urquinaona / Trinitat Vella,3
28,41,Pl. Catalunya / Pl. Francesc Macià,3
51,42,Pl. Catalunya / Santa Coloma,3
78,45,Pg. Marítim / Horta,3
58,46,Pl. Espanya / Aeroport BCN,3
92,47,Pl. Catalunya / Canyelles,3
77,50,Collblanc / Trinitat Nova,3
104,51,Pla de Palau / Ciutat Meridiana,3
108,54,Estació del Nord / Campus Nord,3
47,55,Parc de Montjuïc / Pl. Catalana,3
54,57,Collblanc / Cornellà,3
96,59,Poblenou / Pl. Reina Maria Cristina,3
59,6,Pg. Manuel Girona / Poblenou,3
107,60,Besòs Verneda / Av. Esplugues,3
35,62,Pl. Catalunya / Ciutat Meridiana,3
91,63,Pl. Universitat / Sant Joan Despí,3
72,65,Pl. Espanya / El Prat,3
45,66,Pl. Catalunya / Sarrià,3
37,67,Pl. Catalunya / Cornellà,3
53,68,Pl. Catalunya / Cornellà,3
56,7,Fòrum / Zona Universitària,3
101,70,Rambla de Badal / Bonanova,3
97,75,Les Corts / Av. Tibidabo,3
64,76,Sant Genís / Ciutat Meridiana,3
67,78,Estació de Sants / Sant Joan Despí,3
73,79,Pl. Espanya / <M> Av. Carrilet,3
38,91,Rambla / Bordeta,3
94,92,Pg. Marítim / Av. Tibidabo,3
22,94,Barri Almeda / Fontsanta,3
50,95,Barri Almeda / Pl. Fontsanta,3
34,96,<M> La Sagrera / Montcada i Reixac,3
10,97,Pg. Fabra i Puig / Vallbona,3
