stop.id,route.id
1157,104
1157,47
1157,41
2467,94
2467,90
1714,65
1714,59
417,17
1210,42
1209,42
1208,42
1214,42
1213,42
1212,42
1211,42
1814,77
1814,104
1814,68
1814,92
1814,63
2192,104
2192,77
991,37
991,56
991,105
991,53
2191,104
2191,77
2191,94
2600,103
258,13
1703,65
1703,59
1746,61
1746,78
1746,106
899,35
899,92
2354,85
1941,67
1564,55
1564,54
1062,60
1062,39
1058,93
1058,107
1058,39
1059,93
1059,107
1059,39
1850,104
1850,77
1850,64
673,65
673,78
673,26
912,35
1367,47
1983,68
1982,68
1981,68
1092,66
1092,39
1092,68
477,19
1376,47
1370,47
2078,73
2091,73
512,73
512,20
2080,73
2089,73
2079,73
2090,73
2183,77
2126,75
1256,102
1256,43
1181,41
1181,64
659,26
2218,79
2215,79
2214,79
2224,79
1318,45
1318,76
1318,53
729,28
729,47
729,33
729,43
729,38
995,37
995,53
1389,62
1389,61
1389,47
1389,63
1227,104
1227,61
1227,43
1317,45
1317,76
1317,53
1731,61
1331,46
1490,60
1490,51
820,32
820,87
1353,46
1353,104
1353,77
1353,64
1647,57
409,16
669,61
669,41
669,26
2034,79
2034,71
161,10
2111,75
164,10
96,4
97,4
1021,38
1022,96
1022,103
1022,38
1039,96
1039,103
1039,38
1147,98
1147,104
1147,77
1147,100
1147,80
1147,41
88,4
89,4
90,4
91,4
92,4
93,4
94,4
95,4
965,37
965,54
965,53
2133,75
2338,84
569,37
569,22
971,37
971,50
571,37
571,22
570,37
570,22
964,37
964,54
964,53
858,34
858,93
858,35
1437,69
1437,49
1437,71
547,21
547,34
547,35
548,21
548,34
548,35
1438,71
1438,49
235,12
541,98
541,66
541,88
541,21
541,36
541,39
248,104
248,77
248,78
248,92
248,41
248,13
236,12
224,52
224,64
224,35
224,11
1435,69
1435,49
1435,71
1436,71
1436,49
1129,41
1129,64
1905,66
1905,100
1725,60
1182,41
1182,64
1726,60
2128,75
951,60
951,36
109,5
110,5
111,5
112,5
105,5
106,5
107,5
108,5
2009,70
113,5
114,5
1996,70
1996,105
2249,80
661,26
160,10
160,35
160,64
1223,96
1223,66
1223,102
1223,94
1223,43
159,10
159,12
159,64
159,35
159,34
1650,57
1650,77
1640,57
1640,77
1641,57
1641,77
2314,82
2395,86
2397,86
1991,69
2047,72
2047,83
1273,44
1273,71
121,6
122,6
123,6
124,6
125,6
126,6
127,6
128,6
129,6
130,6
476,95
476,19
476,93
476,70
476,105
1449,50
1822,88
1822,84
1822,63
2514,94
1159,104
1159,77
1159,47
1159,41
1159,59
1761,106
1761,61
1761,78
1761,92
2512,94
2013,70
1503,51
1504,51
2259,80
1673,58
1674,58
1857,104
1857,77
1857,64
2639,107
2478,91
2476,91
2599,103
2431,89
2431,102
2167,76
2166,76
2161,76
1871,65
2165,76
2163,76
2162,76
2169,76
2496,93
2496,105
2496,107
166,10
166,35
166,64
1095,60
1095,39
1095,88
1646,57
2155,75
1096,60
1096,39
1097,93
1097,39
1097,88
2025,71
2036,71
2536,96
1451,50
1452,50
1949,67
1948,67
657,25
656,25
2023,71
561,22
572,37
572,50
572,22
572,54
572,53
1690,81
1690,72
1690,58
2044,71
804,80
804,32
803,32
1668,58
1697,58
1116,40
1030,38
617,24
1942,67
1565,55
1565,54
1556,55
1556,54
1232,73
1232,44
1232,58
1232,83
1232,81
1232,72
1232,49
1232,43
996,37
996,54
996,53
997,37
997,54
997,53
1393,48
1862,75
1862,93
1862,84
1862,107
1862,64
256,104
256,77
256,78
256,88
256,92
256,41
256,89
256,13
1759,61
1759,78
1759,106
2342,84
2342,102
2342,92
893,35
1008,67
1008,100
1008,37
1008,97
1008,91
1008,56
2174,80
2174,98
2174,104
2174,77
2174,100
909,35
