stop.id,stop.name,stop.lat,stop.lon
0,Hospital de Bellvitge,41.344677,2.107242
1,Bellvitge,41.350975,2.110917
2,Av. Carrilet,41.358553,2.102632
149,Trinitat Nova,41.449200,2.182366
150,Casa de l'Aigua,41.451278,2.184840
151,Torre Baró | Vallbona,41.459199,2.179925
152,Ciutat Meridiana,41.460808,2.174650
3,Rbla. Just Oliveras,41.364090,2.099749
153,Can Cuiàs,41.462413,2.173059
4,Can Serra,41.367694,2.102758
5,Florida,41.368316,2.110027
6,Torrassa,41.368396,2.116594
7,Santa Eulàlia,41.368816,2.128617
8,Mercat Nou,41.373003,2.133536
9,Plaça de Sants,41.375353,2.138154
10,Hostafrancs,41.375254,2.143291
11,Espanya,41.375540,2.149450
12,Rocafort,41.379232,2.154562
13,Urgell,41.382487,2.158891
14,Universitat,41.385712,2.164012
15,Catalunya,41.387476,2.168958
16,Urquinaona,41.389636,2.174567
17,Arc de Triomf,41.392337,2.181165
18,Marina,41.394725,2.185801
19,Glòries,41.402277,2.187537
20,Clot,41.410163,2.187003
21,Navas,41.416187,2.187057
22,La Sagrera,41.422369,2.186975
23,Fabra i Puig,41.429633,2.183661
24,Sant Andreu,41.436600,2.191187
25,Torras i Bages,41.443225,2.190671
26,Trinitat Vella,41.448956,2.193837
27,Baró de Viver,41.449936,2.199563
28,Santa Coloma,41.451067,2.207969
29,Fondo,41.451583,2.218435
54,Paral·lel,41.375004,2.169117
55,Sant Antoni,41.379833,2.163241
56,Universitat,41.384768,2.163913
57,Passeig de Gràcia,41.389416,2.168243
58,Tetuan,41.394887,2.175559
59,Monumental,41.400524,2.179462
60,Sagrada Família,41.403985,2.175106
61,Encants,41.407236,2.182700
62,Clot,41.410334,2.186803
63,Bac de Roda,41.415162,2.195503
64,Sant Martí,41.419064,2.200724
65,La Pau,41.424033,2.205608
66,Verneda,41.430004,2.209883
67,Artigues | Sant Adrià,41.433848,2.217772
68,Sant Roc,41.435831,2.228606
69,Gorg,41.440237,2.233441
70,Pep Ventura,41.443905,2.237959
71,Badalona Pompeu Fabra,41.449054,2.244097
72,Zona Universitària,41.384115,2.111179
73,Palau Reial,41.385980,2.118538
74,Maria Cristina,41.387816,2.125791
75,Les Corts,41.384120,2.130871
76,Plaça del Centre,41.381922,2.135884
77,Sants Estació,41.381635,2.140946
78,Tarragona,41.378493,2.145336
79,Espanya,41.375018,2.151555
80,Poble Sec,41.374996,2.160245
81,Paral·lel,41.374892,2.169118
82,Drassanes,41.376538,2.175664
83,Liceu,41.381445,2.173030
84,Catalunya,41.386322,2.170092
85,Passeig de Gràcia,41.391603,2.165347
86,Diagonal,41.395888,2.160047
87,Fontana,41.402009,2.153022
88,Lesseps,41.405738,2.150407
89,Vallcarca,41.411975,2.144337
90,Penitents,41.418279,2.140972
91,Vall d'Hebron,41.425283,2.142565
92,Montbau,41.430620,2.145039
93,Mundet,41.435645,2.148472
94,Valldaura,41.437996,2.156878
95,Canyelles,41.441754,2.166388
96,Roquetes,41.447670,2.176098
97,Trinitat Nova,41.449500,2.184097
98,La Pau,41.423660,2.205217
99,Besòs,41.419919,2.210213
100,Besòs Mar,41.415099,2.216082
101,El Maresme | Forum,41.411780,2.216692
102,Selva de Mar,41.408001,2.209122
103,Poble Nou,41.403716,2.203371
104,Llacuna,41.399425,2.197712
105,Bogatell,41.395107,2.192012
106,Ciutadella | Vila Olímpica,41.386687,2.192991
107,Barceloneta,41.381811,2.184787
108,Jaume I,41.384126,2.178531
109,Urquinaona,41.387961,2.173445
110,Passeig de Gràcia,41.390057,2.167846
111,Girona,41.394920,2.170825
112,Verdaguer,41.400365,2.168060
113,Joanic,41.406427,2.163225
114,Alfons X,41.412377,2.166382
115,Guinardó | Hospital de Sant Pau,41.415962,2.173989
116,Maragall,41.423104,2.177397
117,Llucmajor,41.436985,2.173343
118,Via Júlia,41.443730,2.178550
119,Trinitat Nova,41.449156,2.182434
120,Cornellà Centre,41.357290,2.070428
121,Gavarra,41.357993,2.079269
122,Sant Ildelfons,41.363381,2.084393
123,Can Boixeres,41.366571,2.091506
124,Can Vidalet,41.371279,2.099445
125,Pubilla Cases,41.373838,2.107209
126,Collblanc,41.375743,2.119195
127,Badal,41.375581,2.127402
128,Plaça de Sants,41.375727,2.135159
129,Sants Estació,41.379955,2.140398
130,Entença,41.384467,2.145619
131,Hospital Clínic,41.388608,2.151081
132,Diagonal,41.394435,2.158830
133,Verdaguer,41.398952,2.167089
134,Sagrada Família,41.403835,2.173618
135,Sant Pau | Dos de Maig,41.410753,2.176016
136,Camp de l'Arpa,41.415060,2.181497
137,La Sagrera,41.421296,2.186582
138,Congrés,41.423440,2.181186
139,Maragall,41.425045,2.176485
140,Virrei Amat,41.429703,2.174913
141,Vilapicina,41.430465,2.167619
142,Horta,41.429692,2.159974
143,El Carmel,41.424450,2.155099
144,El Coll | La Teixonera,41.421997,2.148348
145,Vall d'Hebron,41.424993,2.142356
39,Aeroport T1,41.288295,2.071152
40,Aeroport T2,41.303823,2.073113
41,Mas Blau,41.311225,2.073471
42,Parc Nou,41.316628,2.087929
43,Cèntric,41.322250,2.093463
44,El Prat Estació,41.331993,2.089927
45,Les Moreres,41.329094,2.103019
46,Mercabarna,41.333485,2.111254
47,Parc Logístic,41.341664,2.127401
48,Fira,41.351988,2.130452
49,Europa | Fira,41.357560,2.125924
50,Can Tries | Gornal,41.360894,2.117993
51,Torrassa,41.368223,2.115756
52,Collblanc,41.376056,2.118397
53,Zona Universitària,41.383742,2.111621
30,La Sagrera,41.420494,2.186723
31,Onze de Setembre,41.429559,2.193564
32,Bon Pastor,41.436203,2.205294
146,Llefià,41.441360,2.216906
147,La Salut,41.442817,2.224737
148,Gorg,41.440443,2.233892
33,Can Peixauet,41.443986,2.210027
34,Santa Rosa,41.446850,2.215809
35,Fondo,41.451876,2.218485
36,Esglèsia Major,41.454797,2.212177
37,Singuerlin,41.459413,2.205429
38,Can Zam,41.456666,2.198569
154,Paral·lel,41.373847,2.168853
155,Parc de Montjuïc,41.368956,2.163269
1479,Almogàvers-Àlaba,41.398547,2.191861
990,París-Enric Granados,41.393874,2.153649
2502,Santuari-La Murtra,41.419945,2.155085
2503,Pl Gibraltar,41.420235,2.151004
2325,Av de Vallcarca-Metro Penitents,41.418082,2.140920
444,Pl. Alfonso Comín-Pg. Vall d'Hebron,41.416211,2.138226
1026,Metro Paral·lel,41.375031,2.170619
1027,Pl. Josep Maria Folch,41.376156,2.166602
1028,Ronda Sant Pau-Parlament,41.377920,2.164280
889,Av Meridiana-Biscaia,41.417607,2.186750
1167,Pg Maragall-Trinxant,41.419027,2.180738
584,Mallorca-Navas de Tolosa,41.413975,2.189273
2130,Olvan,41.429684,2.133275
1239,Pl del Nou,41.353250,2.141139
2039,Av. Verge de Montserrat-Coronel Sanfeliu,41.325506,2.094566
2021,Av Verge de Montserrat-Enric Morera,41.326830,2.097336
2022,Av Verge de Montserrat-Castella,41.325726,2.094473
1584,Laureà Miró-Nord,41.378095,2.082201
1447,Av Can Corts-Ctra d'Esplugues,41.357494,2.068283
374,Pg. Vall d'Hebron-Av. Jordà,41.424328,2.141720
375,Pg. Vall d'Hebron-Natzaret,41.421576,2.140501
2646,Ardena-Ronda de Dalt,41.390617,2.107332
1220,Pg Calvell-Rambla del Poblenou,41.397033,2.205785
1103,Sant Adrià-Pg Enric Sanchís,41.436015,2.204051
1057,Sant Adrià-Arbeca,41.436665,2.208288
2648,Ronda de Dalt-Moneders,41.389978,2.108094
1728,Pg Torras i Bages-Joan Torras,41.436982,2.191088
1529,Bisbe Català-Pl Pedralbes,41.396058,2.114509
755,Av Ferrer i Guàrdia-Av Montanyans,41.367321,2.145062
830,Guipúscoa-Verneda,41.424778,2.208037
1554,Laureà Miró-Primer de Maig,41.376933,2.092166
1343,Via Favència-Molí,41.445946,2.180146
2602,Aribau-Laforja,41.397926,2.147323
1169,Pg Maragall-Manigua,41.422552,2.178893
2196,Via Laietana-Comtal,41.387063,2.174794
1247,Pl. Urquinaona,41.388783,2.173322
2059,Riu Llobregat-Riu Cardener,41.317824,2.083265
2054,Av Remolar-Av Onze de setembre,41.319834,2.090315
2070,Av. del Remolar-Pl. de la Granja,41.318644,2.091294
1270,Pg. Zona Franca-Motors,41.352282,2.144507
1269,Pg. Zona Franca-Cisell,41.353751,2.143491
2573,Felip II-Ramon Albó,41.427261,2.177781
2574,Felip II-Pl. Congrés,41.425721,2.179802
2278,Guipúscoa-Bac de Roda,41.414970,2.195547
666,Jerez-Pl de la Ciutadella,41.431347,2.155261
1587,Rambla Sant Just-Major,41.380882,2.075103
1588,Rambla Sant Just-Marqués de Monistrol,41.382967,2.074092
1573,Hereter-Av Indústria,41.382749,2.071440
1034,Constitució-Mossèn Amadeu Oller,41.369928,2.137750
1185,Viladomat-Manso,41.376481,2.161440
1366,Vilamarí-Av Mistral,41.375731,2.153416
2245,Guipúscoa-Bac de Roda,41.414919,2.194885
1659,Paral·lel-Vila i Vilà,41.374858,2.167291
2048,Av Paral.lel - Lleida,41.374826,2.153056
2084,Av Paral·lel-Pl Espanya,41.374832,2.152229
1684,Av Paral·lel-Llançà,41.374833,2.152562
2353,Pl de la Font Castellana-Tenerife,41.415206,2.166346
2250,Mallorca-Pau Claris,41.395338,2.164454
1718,Pl Urquinaona-Pau Claris,41.389329,2.172834
900,Metro Urquinaona,41.389020,2.172786
902,Gran Via-Pau Claris,41.390143,2.169377
1155,Pl Urquinaona,41.389095,2.172533
2175,Mallorca-Padilla,41.405590,2.178124
907,Ribes-Lepant,41.399547,2.184073
1306,Pl Universitat,41.386070,2.163970
732,Pl Universitat-Pelai,41.385629,2.164493
2272,València-Pg de Gràcia,41.392346,2.162948
708,Ronda Sant Pere-Pl Urquinaona,41.388581,2.171448
1029,Pl Espanya-FGC,41.374395,2.147976
1712,Diagonal-Pau Claris,41.396737,2.160649
1606,Gran Via-Pau Claris,41.390295,2.169055
901,Ronda Sant Pere-Pl de Catalunya,41.388275,2.170633
1769,Camèlies-Praga,41.413077,2.162952
1003,Casanova-París,41.391286,2.151078
1764,Rosselló-Bailèn,41.399765,2.165991
1298,Numància-Marquès de Sentmenat,41.384607,2.137456
1922,Metro Maresme/Forum,41.412074,2.216952
831,Guipúscoa-Rambla Prim,41.422866,2.205485
1415,Borbó-Pg Maragall,41.426400,2.175874
2075,Av Anselm Clavé-Manuel Bertrand,41.331717,2.095000
1004,Diagonal-Francesc Macià,41.393154,2.145855
721,Josep Tarradellas-Comte Borrell,41.391524,2.144261
1956,Nicaragua-Josep Tarradellas,41.382902,2.141836
1463,Rambla de Sant Sebastià-Pl Vila,41.451151,2.208099
1969,Av Barcelona-Francesc Macià,41.366845,2.060569
733,Pl. Catalunya-Portal de l'Àngel,41.386592,2.171069
2362,Sardenya-Camèlies,41.413114,2.161533
2610,Pla del Palau-Govern Civil,41.382899,2.183856
1748,Av Marquès de l'Argentera-Pg Picasso,41.385091,2.185189
1486,Pallars-Pere IV,41.397661,2.193203
860,Pl del Bosc,41.469589,2.183906
1909,Rambla de Prim-Pere IV,41.418767,2.208814
826,Rambla Prim-Jaume Huguet,41.417259,2.211829
2396,Gran de Gràcia-Lesseps,41.406176,2.150079
2461,Gran de Gràcia,41.403474,2.152181
1836,Av Príncep d'Astúries-Pl Lesseps,41.405660,2.150121
2523,Av República Argentina-Escipió,41.408629,2.147061
220,Bifurcació-del Molí,41.471805,2.183416
1788,Mitre-Berna,41.405622,2.146637
1817,Pl Lesseps-Riera de Vallcarca,41.406744,2.149511
1835,Av Príncep d'Astúries-Carolines,41.403638,2.150081
710,Ronda Universitat-Pl Universitat,41.386274,2.165311
1248,Pg. Lluís Companys-Arc de Triomf,41.390690,2.180252
1249,Pg. Lluís Companys-Jutjats,41.388838,2.182697
1758,Parc de la Ciutadella-Princesa,41.387804,2.183054
221,Bifurcació-Pl Sant Joan,41.469672,2.180891
1201,Pg Picasso-Jutjats,41.388363,2.182087
2582,Bac de Roda-Llull,41.405568,2.206712
824,Rambla Prim-Llull,41.413108,2.217352
1743,Pau Claris-Rosselló,41.396467,2.162074
1609,Pg de Gràcia-Mallorca,41.393522,2.163363
2535,Casanova-Mercat del Ninot,41.388597,2.154626
1380,Pg. de Sant Joan-València,41.398843,2.170462
222,Bifurcació-Ctra Nacional 152,41.466940,2.178884
1163,Padilla-Mallorca,41.405645,2.177352
1146,Av Gaudí,41.405772,2.174817
2190,Independència-Mallorca,41.408977,2.181904
2173,Dos de Maig-Rosselló,41.408911,2.179491
2452,Pg de Gràcia-Rosselló,41.395893,2.160116
882,Pg Jaume I-Pl Lluís Companys,41.482075,2.188604
1885,Montbau,41.433033,2.141504
1866,Pg. Vall d'Hebron-Poesia,41.430667,2.144754
1865,Pg Vall d'Hebron-Mundet,41.435426,2.147379
180,Ctra Nacional 152-Bifurcació,41.467071,2.178991
1884,Vayreda-Arquitectura,41.430385,2.140176
2053,Pl Catalunya,41.321642,2.093474
2072,Lleida-Ctra de l' Aviació,41.321557,2.093548
966,Av del Parc-Bellaterra,41.358927,2.073605
967,Av del Parc-Bonavista,41.359578,2.075877
1721,Pg Torras i Bages-Residència,41.439348,2.191109
1722,Pg Torras i Bages-Residència,41.441809,2.190935
181,Mina-del Molí,41.469157,2.180794
1725,Pg de Torras i Bages-Pg de Santa Coloma,41.444562,2.190558
1726,Pg de Torras i Bages-Palomar,41.442298,2.190707
1747,Pg Picasso-Princesa,41.387133,2.183523
1631,Pla de Palau-Pl. Pau Vila,41.382550,2.185005
545,Av Meridiana-Estació d'Autobusos Fabra i Puig,41.430561,2.183016
546,C A P Sant Andreu,41.433332,2.183621
1856,S'Agaró-Llosa,41.449237,2.187541
219,Av de la Ribera-Pl de la Ribera,41.476795,2.189000
943,Riera d'Horta-Vèlia,41.427848,2.180303
1077,Mina de la Ciutat-Pla de Fornells,41.447861,2.175191
1084,Via Favència-I E S Guineueta,41.443450,2.172257
1243,Gran Via-Química,41.365862,2.137315
1333,Artesania-Antonio Machado,41.445167,2.170970
1074,Almagro-Quarter de Simancas,41.444309,2.172295
1344,Via Favència-Palamós,41.446496,2.184238
949,Pont del Treball-Cantàbria,41.421948,2.197069
1931,Rambla de Prim-Ronda Sant Martí,41.427330,2.197687
2525,Bolívar-Ballester,41.409254,2.147712
1905,Rambla Prim-Binèfar,41.424160,2.201886
1906,Rambla Prim-Guipúscoa,41.422359,2.204269
1129,Camí de Sant Genís-Natzaret,41.428088,2.137191
2128,Natzaret-Saldes,41.427715,2.137139
951,Cantàbria-Rambla de Guipúscoa,41.419365,2.201707
2337,Av de Vallcarca-Pl Lesseps,41.408484,2.149067
2584,Bac de Roda-Gran Via,41.412493,2.197521
599,Bilbao-Concili de Trento,41.411335,2.192025
1907,Rambla Prim-Concili de Trento,41.421742,2.205085
1880,Jorge Manrique-Can Travi,41.431561,2.149490
2309,Badal-Constitució,41.368597,2.132776
2507,Vallcarca,41.413062,2.144236
442,Isaac Newton-Lleó XIII,41.414895,2.135836
1444,Ctra d'Esplugues-Oliverar,41.366651,2.077829
970,Av Sant Ildefons-Dàlia,41.362154,2.082364
969,Av Sant Ildefons-Marfull,41.360524,2.081165
1500,Llinars-Santander,41.434755,2.207305
1834,Av Príncep d'Astúries-Rambla de Prat,41.401525,2.151230
563,Ctra d'Esplugues-La Miranda,41.361136,2.072780
564,Ctra d'Esplugues-Pl del Sol,41.364401,2.075946
566,Av de Sant Ildefons-Avet,41.365504,2.082789
1019,Av de Sant Ildefons-Ctra d'Esplugues,41.367303,2.080390
1049,Pg. Santa Coloma-Pl de la Modernitat,41.446179,2.193450
1050,Pg. Santa Coloma-Tiana,41.448313,2.199544
2069,Riu Llobregat-Ronda del Sud,41.316126,2.091060
2251,Mallorca-Pg de Gràcia,41.393336,2.161799
995,Pl de Catalunya-Rambla Catalunya,41.387575,2.168831
994,Gran Via-Balmes,41.387931,2.166431
2206,Còrsega-Bailèn,41.401312,2.165590
709,Pl. Catalunya-Pg. de Gràcia,41.387757,2.169316
1586,Rambla Sant Just-Ctra Reial,41.379351,2.075892
1575,Rambla Sant Just-Catalunya,41.380340,2.075249
862,Anselm Clavé-Av Catalunya,41.492142,2.183393
2463,Ramiro de Maeztu-Pl Sanllehy,41.413971,2.160694
2464,Ramiro de Maeztu-Miquel Sants Oliver,41.415147,2.158465
2466,Ctra del Carmel-Parc Güell,41.415707,2.155426
2467,Ctra del Carmel-Albert Llanas,41.416462,2.156469
2443,Ctra del Carmel-Pl Raimon Casellas,41.416835,2.158833
2444,Ctra del Carmel-Can Xirot,41.416974,2.156465
1704,Pl Mossèn Jacint Verdaguer,41.398881,2.168610
2445,Parc Güell,41.415506,2.155097
2446,Ctra del Carmel-Ramiro de Maeztu,41.415646,2.156804
2447,Ramiro de Maeztu-Av Pompeu Fabra,41.414884,2.158604
2465,Ramiro de Maeztu-C N Catalunya,41.415782,2.156793
2247,Mallorca-Rogent,41.410324,2.184429
2204,Sant Antoni Maria Claret-Nàpols,41.404900,2.165876
1226,Pg. Pujades-Parc de la Ciutadella,41.390461,2.185365
2248,Mallorca-Pg. Sant Joan,41.399839,2.170428
1160,València-Pg. Sant Joan,41.398963,2.171747
2670,Pl Tetuan-Gran Via,41.395093,2.176312
1153,Arc de Triomf,41.391274,2.178718
897,Gran Via-Roger de Flor,41.396190,2.176898
1482,Almogàvers-Roger de Flor,41.391709,2.182676
1142,Pg Maragall-Ronda Guinardó,41.424242,2.177086
1876,Padilla-Travessera de Gràcia,41.410353,2.171144
1877,Padilla-Mas Casanovas,41.411644,2.169474
1138,Pg Maragall-Av Frederic Rahola,41.427763,2.164694
237,Pedrell-Font d'en Fargas,41.424465,2.166170
238,Pedrell-Av Frederic Rahola,41.424246,2.168382
2542,Estadi del Futbol Club Barcelona,41.380455,2.125055
1559,Metro Collblanc,41.375678,2.119920
172,Av Meridiana-Av Rio de Janeiro,41.443041,2.186210
2495,Pg Valldaura-Av Rio de Janeiro,41.439440,2.182604
1770,Montserrat de Casanovas-Marí,41.422414,2.161914
1771,Montserrat de Casanovas-Passerell,41.421547,2.159241
1605,Gran Via-Llúria,41.391937,2.171236
2273,València-Roger de Llúria,41.394666,2.166028
726,Rocafort-Provença,41.383427,2.147725
904,Metro Tetuan,41.393790,2.174219
416,Pg Vall d'Hebron-Basses d'Horta,41.425199,2.142908
1828,Josep Tarradellas-Paris,41.386410,2.142976
2184,Gran Via-Entença,41.378385,2.153719
841,Sepúlveda-Rocafort,41.377377,2.154670
2457,Pl de Catalunya-Ronda Sant Pere,41.387727,2.170547
2533,Pl Catalunya-Bergara,41.385362,2.170425
1563,Collblanc-Cardenal Reig,41.375919,2.114639
2274,Mercat de la Concepció,41.396988,2.169109
2460,Gran de Gràcia-Travessera de Gràcia,41.400230,2.155103
2370,Gran de Gràcia-Metro Fontana,41.401809,2.153274
1833,Pl. Gal·la Placídia,41.399564,2.152292
2207,Bruc-Còrsega,41.398840,2.163439
2482,Villarroel-Hospital Clínic,41.389382,2.151134
1365,Pg de Sant Joan-Rosselló,41.401263,2.166750
725,Rocafort-Jardins de Montserrat,41.385053,2.145576
718,Calàbria-Provença,41.385100,2.147956
1303,Muntaner-Roselló,41.391059,2.153439
1874,Av Gaudí,41.404926,2.173958
1719,Segre-Pl de Can Fabra,41.434573,2.192089
1307,Pl de Catalunya-Bergara,41.386552,2.169525
929,Llull-Llacuna,41.400066,2.201020
604,Pujades-Bilbao,41.403014,2.202360
1224,Marina-Doctor Trueta,41.390944,2.192181
2140,Av Elies Pagès,41.428364,2.132870
526,Segre-Pl Orfila,41.435750,2.191468
2195,Ramon Trias Fargas-Pg. Marítim,41.385810,2.196459
1627,Platja de la Barceloneta,41.380519,2.192974
1666,Platja de la Barceloneta,41.380513,2.193130
1626,Hospital del Mar,41.383169,2.194609
2530,Ramon Trias Fargas-Ronda Litoral,41.386274,2.195852
2531,La Rambla-Pl del Teatre,41.378617,2.175699
2327,Av de Vallcarca-Ballester,41.409625,2.147621
2532,La Rambla-Liceu,41.381611,2.173078
1021,La Rambla-Palau de la Virreina,41.382420,2.171942
1022,La Rambla-La Boqueria,41.381421,2.172813
